0: kd> dqs win32kbase!gDxgkInterface L1000
ffff9d25`eb755fd0  00000000`00260890
ffff9d25`eb755fd8  ffff9d25`eb5b0000 win32kbase!DirectComposition::CCrossChannelChildVisualMarshaler::EmitCreationCommand  (win32kbase+0x0)
ffff9d25`eb755fe0  00000000`00000000
ffff9d25`eb755fe8  fffff80d`1d452560 dxgkrnl!DXG_HOST_REMOTEOBJECTCHANNEL::CloseChannelObject
ffff9d25`eb755ff0  fffff80d`1d452560 dxgkrnl!DXG_HOST_REMOTEOBJECTCHANNEL::CloseChannelObject
ffff9d25`eb755ff8  fffff80d`1d43a010 dxgkrnl!DxgkProcessCallout
ffff9d25`eb756000  fffff80d`1d439830 dxgkrnl!DxgkNotifyProcessFreezeCallout
ffff9d25`eb756008  fffff80d`1d439710 dxgkrnl!DxgkNotifyProcessThawCallout
ffff9d25`eb756010  fffff80d`1d42c0e0 dxgkrnl!DxgkOpenAdapter
ffff9d25`eb756018  fffff80d`1d4b4cb0 dxgkrnl!DxgkEnumAdapters
ffff9d25`eb756020  fffff80d`1d43a250 dxgkrnl!DxgkEnumAdapters2
ffff9d25`eb756028  fffff80d`1d4b52d0 dxgkrnl!DxgkGetMaximumAdapterCount
ffff9d25`eb756030  fffff80d`1d432c80 dxgkrnl!DxgkOpenAdapterFromLuid
ffff9d25`eb756038  fffff80d`1d439440 dxgkrnl!DxgkCloseAdapter
ffff9d25`eb756040  fffff80d`1d40b1f0 dxgkrnl!DxgkCreateAllocation
ffff9d25`eb756048  fffff80d`1d43aa70 dxgkrnl!DxgkQueryResourceInfo
ffff9d25`eb756050  fffff80d`1d43a770 dxgkrnl!DxgkQueryResourceInfoFromNtHandle
ffff9d25`eb756058  fffff80d`1d432220 dxgkrnl!DxgkShareObjects
ffff9d25`eb756060  fffff80d`1d4fbb20 dxgkrnl!DxgkOpenNtHandleFromName
ffff9d25`eb756068  fffff80d`1d4fc140 dxgkrnl!DxgkOpenSyncObjectNtHandleFromName
ffff9d25`eb756070  fffff80d`1d4282b0 dxgkrnl!DxgkOpenResource
ffff9d25`eb756078  fffff80d`1d43ad30 dxgkrnl!DxgkOpenResourceFromNtHandle
ffff9d25`eb756080  fffff80d`1d3ea7d0 dxgkrnl!DxgkDestroyAllocation
ffff9d25`eb756088  fffff80d`1d4bd0a0 dxgkrnl!DxgkSetAllocationPriority
ffff9d25`eb756090  fffff80d`1d4bcd80 dxgkrnl!DxgkQueryAllocationResidency
ffff9d25`eb756098  fffff80d`1d427750 dxgkrnl!DxgkCreateDevice
ffff9d25`eb7560a0  fffff80d`1d42a970 dxgkrnl!DxgkDestroyDevice
ffff9d25`eb7560a8  fffff80d`1d3eaa60 dxgkrnl!DxgkCreateContext
ffff9d25`eb7560b0  fffff80d`1d42af60 dxgkrnl!DxgkDestroyContext
ffff9d25`eb7560b8  fffff80d`1d4333b0 dxgkrnl!DxgkCreateSynchronizationObject
ffff9d25`eb7560c0  fffff80d`1d512b40 dxgkrnl!DxgkOpenSynchronizationObject
ffff9d25`eb7560c8  fffff80d`1d40b190 dxgkrnl!DxgkDestroySynchronizationObject
ffff9d25`eb7560d0  fffff80d`1d3eb2a0 dxgkrnl!DxgkWaitForSynchronizationObject
ffff9d25`eb7560d8  fffff80d`1d439060 dxgkrnl!DxgkSignalSynchronizationObject
