1: kd> dqs win32kbase!gDxgkInterface L1000
ffffe25a`69d83570  00000000`00280888
ffffe25a`69d83578  ffffe25a`69ba0000 win32kbase!DirectComposition::CApplicationChannel::RedirectMouseToHwnd  (win32kbase+0x0)
ffffe25a`69d83580  00000000`00000000
ffffe25a`69d83588  fffff802`2f979a30 dxgkrnl!DXG_GUEST_COMPOSITIONOBJECTCHANNEL::ChannelStarted
ffffe25a`69d83590  fffff802`2f979a30 dxgkrnl!DXG_GUEST_COMPOSITIONOBJECTCHANNEL::ChannelStarted
ffffe25a`69d83598  fffff802`2f912440 dxgkrnl!DxgkProcessCallout
ffffe25a`69d835a0  fffff802`2f941c20 dxgkrnl!DxgkNotifyProcessFreezeCallout
ffffe25a`69d835a8  fffff802`2f970710 dxgkrnl!DxgkNotifyProcessThawCallout
ffffe25a`69d835b0  fffff802`2f9121c0 dxgkrnl!DxgkOpenAdapter
ffffe25a`69d835b8  fffff802`2f901a90 dxgkrnl!DxgkEnumAdapters
ffffe25a`69d835c0  fffff802`2f937ce0 dxgkrnl!DxgkEnumAdapters2
ffffe25a`69d835c8  fffff802`2f979100 dxgkrnl!DxgkGetMaximumAdapterCount
ffffe25a`69d835d0  fffff802`2f9538c0 dxgkrnl!DxgkOpenAdapterFromLuid
ffffe25a`69d835d8  fffff802`2f9192b0 dxgkrnl!DxgkCloseAdapter
ffffe25a`69d835e0  fffff802`2f927af0 dxgkrnl!DxgkCreateAllocation
ffffe25a`69d835e8  fffff802`2f93eb60 dxgkrnl!DxgkQueryResourceInfo
ffffe25a`69d835f0  fffff802`2f93d7b0 dxgkrnl!DxgkQueryResourceInfoFromNtHandle
ffffe25a`69d835f8  fffff802`2f940bd0 dxgkrnl!DxgkShareObjects
ffffe25a`69d83600  fffff802`2fa73030 dxgkrnl!DxgkOpenNtHandleFromName
ffffe25a`69d83608  fffff802`2fa736c0 dxgkrnl!DxgkOpenSyncObjectNtHandleFromName
ffffe25a`69d83610  fffff802`2f93fa50 dxgkrnl!DxgkOpenResource
ffffe25a`69d83618  fffff802`2f93dc10 dxgkrnl!DxgkOpenResourceFromNtHandle
ffffe25a`69d83620  fffff802`2f919b00 dxgkrnl!DxgkDestroyAllocation
ffffe25a`69d83628  fffff802`2fa301a0 dxgkrnl!DxgkSetAllocationPriority
ffffe25a`69d83630  fffff802`2fa2fe00 dxgkrnl!DxgkQueryAllocationResidency
ffffe25a`69d83638  fffff802`2f934330 dxgkrnl!DxgkCreateDevice
ffffe25a`69d83640  fffff802`2f93c0f0 dxgkrnl!DxgkDestroyDevice
ffffe25a`69d83648  fffff802`2f941d20 dxgkrnl!DxgkCreateContext
ffffe25a`69d83650  fffff802`2f93b000 dxgkrnl!DxgkDestroyContext
ffffe25a`69d83658  fffff802`2f918590 dxgkrnl!DxgkCreateSynchronizationObject
ffffe25a`69d83660  fffff802`2fa8c160 dxgkrnl!DxgkOpenSynchronizationObject
ffffe25a`69d83668  fffff802`2f919ae0 dxgkrnl!DxgkDestroySynchronizationObject
ffffe25a`69d83670  fffff802`2f901230 dxgkrnl!DxgkWaitForSynchronizationObject
ffffe25a`69d83678  fffff802`2f901250 dxgkrnl!DxgkSignalSynchronizationObject
ffffe25a`69d83680  fffff802`2f954e80 dxgkrnl!DxgkLock
ffffe25a`69d83688  fffff802`2f953dc0 dxgkrnl!DxgkUnlock
ffffe25a`69d83690  fffff802`2f930210 dxgkrnl!DxgkRender
ffffe25a`69d83698  fffff802`2f97a6e0 dxgkrnl!DxgkGetDisplayModeList
ffffe25a`69d836a0  fffff802`2f94bc40 dxgkrnl!DxgkSetDisplayMode
ffffe25a`69d836a8  fffff802`2fa5ad30 dxgkrnl!DxgkGetMultisampleMethodList
ffffe25a`69d836b0  fffff802`2fa2f940 dxgkrnl!DxgkGetRuntimeData
ffffe25a`69d836b8  fffff802`2f92a570 dxgkrnl!DxgkQueryAdapterInfo
ffffe25a`69d836c0  fffff802`2f9287e0 dxgkrnl!DxgkEscape
ffffe25a`69d836c8  fffff802`2fa2b660 dxgkrnl!DxgkQueryStatistics
ffffe25a`69d836d0  fffff802`2f967130 dxgkrnl!DxgkPresent
ffffe25a`69d836d8  fffff802`2fa275a0 dxgkrnl!DxgkGetSharedPrimaryHandle
ffffe25a`69d836e0  fffff802`2fa74590 dxgkrnl!DxgkCreateOverlay
ffffe25a`69d836e8  fffff802`2fa75c20 dxgkrnl!DxgkUpdateOverlay
ffffe25a`69d836f0  fffff802`2fa751b0 dxgkrnl!DxgkFlipOverlay
ffffe25a`69d836f8  fffff802`2fa74c10 dxgkrnl!DxgkDestroyOverlay
ffffe25a`69d83700  fffff802`2f94cf20 dxgkrnl!DxgkSetVidPnSourceOwner
ffffe25a`69d83708  fffff802`2f913d20 dxgkrnl!DxgkGetPresentHistory
ffffe25a`69d83710  fffff802`2f968150 dxgkrnl!DxgkWaitForVerticalBlankEvent
ffffe25a`69d83718  fffff802`2fa57540 dxgkrnl!DxgkSetGammaRamp
ffffe25a`69d83720  fffff802`2f952610 dxgkrnl!DxgkGetDeviceState
ffffe25a`69d83728  fffff802`2f94c830 dxgkrnl!DxgkSetContextSchedulingPriority
ffffe25a`69d83730  fffff802`2fa571a0 dxgkrnl!DxgkGetContextSchedulingPriority
ffffe25a`69d83738  fffff802`2f96e090 dxgkrnl!DxgkSetProcessSchedulingPriorityClass
ffffe25a`69d83740  fffff802`2fa7fdd0 dxgkrnl!DxgkGetProcessSchedulingPriorityClass
ffffe25a`69d83748  fffff802`2fa7ff40 dxgkrnl!DxgkReleaseProcessVidPnSourceOwners
ffffe25a`69d83750  fffff802`2fa299b0 dxgkrnl!DxgkGetScanLine
ffffe25a`69d83758  fffff802`2f962450 dxgkrnl!DxgkSetQueuedLimit
ffffe25a`69d83760  fffff802`2fa2aeb0 dxgkrnl!DxgkPollDisplayChildren
ffffe25a`69d83768  fffff802`2fa5b2f0 dxgkrnl!DxgkInvalidateActiveVidPn
ffffe25a`69d83770  fffff802`2f9725c0 dxgkrnl!DxgkCheckOcclusion
ffffe25a`69d83778  fffff802`2fa57b30 dxgkrnl!DxgkWaitForIdle
ffffe25a`69d83780  fffff802`2f968e70 dxgkrnl!DxgkCheckMonitorPowerState
